,city_ID,City,Country,lat,lon,temp,wind,cloudiness,humidity
86,5530921,Snyder,US,32.72,-100.92,15.51,2.6,40,100
87,3137469,Sørland,NO,67.67,12.69,2.59,16.76,100,79
88,630166,Berëzovka,BY,53.72,25.5,3.67,4.04,100,93
89,370510,Marabba,SD,12.35,32.18,21.33,3.96,17,13
90,3471451,Arraial do Cabo,BR,-22.97,-42.03,25.79,9.48,100,86
91,1627185,Sijunjung,ID,-0.69,100.95,27.53,0.95,55,73
92,1861416,Ishigaki,JP,24.34,124.16,22.0,3.6,40,56
93,2194098,Ahipara,NZ,-35.17,173.17,19.21,11.56,9,69
94,2122090,Pevek,RU,69.7,170.31,-2.53,10.35,94,78
95,4032243,Vaini,TO,-21.2,-175.2,31.0,9.8,75,74
96,178443,Wajir,KE,1.75,40.06,26.81,6.77,100,70
97,5282297,Bethel,US,41.37,-73.41,2.19,4.1,75,69
98,1735106,George Town,MY,5.41,100.34,28.73,4.1,20,55
99,2138555,Poum,NC,-20.23,164.02,26.86,8.18,1,79
100,3924908,Pimenta Bueno,BR,-11.67,-61.19,22.77,0.6,94,94
101,5954718,Flin Flon,CA,54.77,-101.86,-16.57,4.41,67,86
102,1257540,Sambhal,IN,28.58,78.55,18.72,3.12,0,64
103,1489853,Tazovsky,RU,67.47,78.7,-14.41,7.09,99,91
104,3837213,San Juan,AR,-31.54,-68.54,22.54,1.11,0,52
105,3932145,Pisco,PE,-13.7,-76.22,23.0,8.2,40,78
106,2015306,Tiksi,RU,71.69,128.87,-19.8,2.56,100,94
107,6149374,Slave Lake,CA,55.28,-114.77,-3.0,2.64,90,53
108,708901,Haisyn,UA,48.81,29.39,0.83,4.54,100,54
109,1503527,Khovu-Aksy,RU,51.13,93.6,-0.91,1.11,100,82
110,1623197,Tual,ID,-5.67,132.75,28.58,3.85,7,68
111,5866063,Kenai,US,60.55,-151.26,0.31,4.6,1,58
112,5870133,Nome,US,64.5,-165.41,-1.3,5.7,90,86
113,1263752,Māngrol,IN,21.12,70.12,24.84,3.83,65,40
114,2126199,Cherskiy,RU,68.75,161.3,-3.05,8.54,30,80
115,4149635,Callaway,US,30.15,-85.57,20.37,2.6,90,94
116,1513491,Yangi Marg`ilon,UZ,40.43,71.72,9.44,3.1,85,61
117,5848280,Kapaa,US,22.08,-159.32,22.4,6.7,90,94
118,189741,Lamu,KE,-2.27,40.9,28.7,7.09,100,78
119,1523741,Esik,KZ,43.36,77.45,6.0,2.43,20,52
120,2025256,Chumikan,RU,54.72,135.31,-1.75,6.13,48,70
121,2412408,Nioro,GM,13.35,-15.75,20.91,3.75,24,38
122,1253237,Verāval,IN,20.9,70.37,26.47,5.36,54,17
123,1698289,Pundaguitan,PH,6.37,126.17,27.47,3.34,87,73
124,2068110,Kununurra,AU,-15.77,128.73,34.0,2.6,43,41
125,3105522,Bereda,ES,43.27,-7.54,7.56,3.6,59,76
